model,rmse,solution,length of solution,iterations
xg,13.438533425855995,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",26,26
xg,11.6030793234582,"[2, 7, 8, 9, 11, 12, 16, 19, 21, 27]",10,10
lstm,276.16015625,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",26,0
lstm,104.30475616455078,"[2, 3, 8, 9, 10, 11, 12, 14, 16, 17, 18, 21, 22, 23, 25, 28]",16,1
lstm,92.0079574584961,"[2, 4, 5, 7, 8, 14, 18, 19, 20, 21, 23, 25]",12,2
lstm,72.59154510498047,"[3, 7, 10, 11, 17, 20, 22, 26]",8,6
