model,rmse,solution,length of solution,iterations
xg,13.438533425855995,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",26,26
xg,12.88836297373054,"[2, 5, 8, 9, 16, 21, 23, 25]",8,8
xg,12.588716246417025,"[2, 3, 5, 8, 15, 19, 20, 21, 25]",9,9
xg,12.3833110917519,"[2, 3, 5, 8, 12, 13, 14, 17, 18, 19, 20, 21]",12,12
xg,12.213674406463777,"[2, 4, 5, 8, 13, 14, 16, 17, 18, 19, 20, 23, 24, 28]",14,14
lstm,263.6804504394531,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",26,0
lstm,85.03026580810547,"[4, 5, 6, 7, 11, 12, 13, 14, 15, 16, 19, 20, 22, 23, 24, 25, 26, 28]",18,1
lstm,69.05701446533203,"[2, 3, 4, 5, 7, 13, 14, 15, 16, 17, 20, 21, 22, 25, 27]",15,2
