model,rmse,solution,length of solution,iterations
xg,13.438533425855995,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",26,26
xg,13.425888336543466,"[2, 3, 10, 13, 14, 15, 20, 23, 24, 25, 26, 28]",12,12
xg,12.505951417220931,"[2, 3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 17, 19, 20, 25]",15,15
lstm,101.61910247802734,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",26,0
lstm,93.70642852783203,"[2, 3, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 19, 20, 24, 25, 27]",19,1
lstm,85.70166015625,"[2, 4, 6, 9, 10, 16, 17, 18, 19, 23, 24, 28]",12,2
