Country,Year,Total,Predicted Emissions
,,,337.65036
,,,332.44336
,,,329.40533
,,,330.9097
,,,329.61334
,,,328.61008
,,,332.1223
,,,326.57004
,,,326.40488
,,,327.30167
,,,327.04742
,,,326.95663
,,,327.08633
,,,326.3018
,,,325.56906
,,,327.135
,,,328.2393
,,,325.79037
,,,326.2154
,,,326.2889
,,,326.59393
,,,326.67368
,,,326.12317
,,,326.35147
,,,326.59387
,,,326.65775
,,,325.9292
,,,326.01917
,,,325.5684
,,,325.8744
,,,325.84714
,,,357.7217
